OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,down,5,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.053554344922304153 
L,comb,down,5,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.030206689611077309 
L,comb,down,5,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.079474963247776031 
L,comb,down_fsr,4,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0003622648655436933 
L,comb,down_fsr,4,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00037826455081813037 
L,comb,down_fsr,4,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00097627582727000117 
L,comb,down_fsr,4,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00023082764528226107 
L,comb,down_fsr,4,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-8.5152729297988117e-05 
L,comb,down_fsr,4,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-6.5184824052266777e-05 
L,comb,down_fsr,4,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0023956948425620794 
L,comb,down_fsr,4,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.002298625884577632 
L,comb,down_fsr,4,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0005639087175950408 
L,comb,down_fsr,5,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00014490594912786037 
L,comb,down_fsr,5,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0001513058232376352 
L,comb,down_fsr,5,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00039051033672876656 
L,comb,down_fsr,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-9.2331058112904429e-05 
L,comb,down_fsr,5,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-3.406109317438677e-05 
L,comb,down_fsr,5,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-2.6073928893310949e-05 
L,comb,down_fsr,5,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00095827790210023522 
L,comb,down_fsr,5,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00091945036547258496 
L,comb,down_fsr,5,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00022556347539648414 
L,comb,down_hdamp,4,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00015197033644653857 
L,comb,down_hdamp,4,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0001819847384467721 
L,comb,down_hdamp,4,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00056683958973735571 
L,comb,down_hdamp,4,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00087721127783879638 
L,comb,down_hdamp,4,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0012856582179665565 
L,comb,down_hdamp,4,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0014109374023973942 
L,comb,down_hdamp,4,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00047523371176794171 
L,comb,down_hdamp,4,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00018259043281432241 
L,comb,down_hdamp,4,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00036520740832202137 
L,comb,down_hdamp,5,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-6.0788133851019666e-05 
L,comb,down_hdamp,5,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-7.2793896833900362e-05 
L,comb,down_hdamp,5,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00022673583589494228 
L,comb,down_hdamp,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00035088451113551855 
L,comb,down_hdamp,5,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00051426328718662262 
L,comb,down_hdamp,5,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00056437496095895767 
L,comb,down_hdamp,5,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00019009348761755973 
